1.0000,0.4301,0.4656,0.0398,0.1171,0.3343,0.1029,0.2972,0.0432,0.1557,0.2359,0.0980,0.0116,-0.0017,0.0827,0.1309,-0.0716,0.0502,0.0277,0.0009,0.0016,0.0201,0.1401,0.3333,0.1637,0.0581,0.1508,0.3543,0.2745,0.2874
0.4301,1.0000,0.4074,0.1552,0.2598,0.3625,0.1521,0.4235,0.1643,0.3199,0.4396,0.1270,0.2847,0.2955,0.3473,0.4189,0.0893,0.1405,0.2329,0.2353,0.2696,0.2207,0.4269,0.5141,0.3059,0.2239,0.3055,0.5018,0.4112,0.5261
0.4656,0.4074,1.0000,0.2503,0.2863,0.1826,0.3863,0.3267,0.3111,0.3845,0.4333,0.3127,0.2361,0.3098,0.3289,0.2476,0.1135,0.4217,0.4840,0.3184,0.3563,0.3290,0.3499,0.3622,0.5020,0.2698,0.2389,0.3250,0.2773,0.2234
0.0398,0.1552,0.2503,1.0000,0.2931,0.2594,0.5161,0.2430,0.1133,0.3016,0.3551,0.3483,0.1461,0.4621,0.2268,0.2397,0.1042,0.2599,0.3702,0.2618,0.2528,0.2046,0.4179,0.2918,0.3461,0.2040,0.2299,0.2952,0.1541,0.1915
0.1171,0.2598,0.2863,0.2931,1.0000,0.2142,0.3473,0.3629,0.4853,0.4967,0.5715,0.4125,0.5580,0.1522,0.4168,0.3971,0.2387,0.1353,0.3414,0.2889,0.3062,0.3256,0.4215,0.3130,0.3379,0.1462,0.3131,0.3356,0.2097,0.1617
0.3343,0.3625,0.1826,0.2594,0.2142,1.0000,0.3731,0.3620,0.1508,0.4165,0.4178,0.4672,0.1614,0.2044,0.1169,0.1311,-0.0425,0.0251,0.1661,0.0314,0.0061,-0.0442,0.1859,0.3334,0.1747,0.1298,0.8362,0.5253,0.5746,0.5772
0.1029,0.1521,0.3863,0.5161,0.3473,0.3731,1.0000,0.2450,0.4188,0.5608,0.3925,0.7919,0.3127,0.5561,0.3907,0.2933,0.4136,0.6096,0.5103,0.5195,0.5020,0.5210,0.4395,0.2600,0.6412,0.4975,0.4280,0.3614,0.2589,0.1848
0.2972,0.4235,0.3267,0.2430,0.3629,0.3620,0.2450,1.0000,0.3771,0.3750,0.5071,0.2914,0.4152,0.2566,0.4210,0.5166,0.2266,0.2341,0.2115,0.3113,0.3823,0.3615,0.4249,0.4321,0.3900,0.2763,0.3172,0.4225,0.2041,0.3667
0.0432,0.1643,0.3111,0.1133,0.4853,0.1508,0.4188,0.3771,1.0000,0.6208,0.4482,0.4915,0.6972,0.4089,0.3950,0.3582,0.5327,0.4638,0.3685,0.5501,0.5070,0.6306,0.3211,0.3200,0.4271,0.3907,0.2582,0.2617,0.1718,0.0469
0.1557,0.3199,0.3845,0.3016,0.4967,0.4165,0.5608,0.3750,0.6208,1.0000,0.7943,0.6966,0.4338,0.3653,0.2942,0.3266,0.3059,0.3527,0.4751,0.4722,0.3692,0.3926,0.4381,0.4668,0.4031,0.4146,0.5250,0.4536,0.3906,0.2265
